id,name,description,image_url,max_stack
1,Acacia Boat,Acacia Boat,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_boat.png,1
2,Acacia Boat with Chest,Acacia Boat with Chest,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_boat_with_chest.png,1
3,Acacia Button,Acacia Button,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_button.png,64
4,Acacia Door,Acacia Door,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_door.png,64
5,Acacia Fence,Acacia Fence,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_fence.png,64
6,Acacia Fence Gate,Acacia Fence Gate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_fence_gate.png,64
7,Acacia Hanging Sign,Acacia Hanging Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_hanging_sign.png,16
8,Acacia Leaves,Acacia Leaves,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_leaves.png,64
9,Acacia Log,Acacia Log,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_log.png,64
10,Acacia Planks,Acacia Planks,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_planks.png,64
11,Acacia Pressure Plate,Acacia Pressure Plate,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_pressure_plate.png,64
12,Acacia Sapling,Acacia Sapling,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_sapling.png,64
13,Acacia Shelf,Acacia Shelf,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_shelf.png,64
14,Acacia Sign,Acacia Sign,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_sign.png,16
15,Acacia Slab,Acacia Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_slab.png,64
16,Acacia Stairs,Acacia Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_stairs.png,64
17,Acacia Trapdoor,Acacia Trapdoor,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_trapdoor.png,64
18,Acacia Wood,Acacia Wood,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_acacia_wood.png,64
19,Activator Rail,Activator Rail,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_activator_rail.png,64
20,Allay Spawn Egg,Allay Spawn Egg,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_allay_spawn_egg.png,64
21,Allium,Allium,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_allium.png,64
22,Amethyst Cluster,Amethyst Cluster,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_amethyst_cluster.png,64
23,Amethyst Shard,Amethyst Shard,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_amethyst_shard.png,64
24,Ancient Debris,Ancient Debris,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_ancient_debris.png,64
25,Andesite,Andesite,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_andesite.png,64
26,Andesite Slab,Andesite Slab,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_andesite_slab.png,64
27,Andesite Stairs,Andesite Stairs,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_andesite_stairs.png,64
28,Andesite Wall,Andesite Wall,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_andesite_wall.png,64
29,Angler Pottery Sherd,Angler Pottery Sherd,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_angler_pottery_sherd.png,64
30,Anvil,Anvil,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_anvil.png,64
31,Apple,Apple,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_apple.png,64
32,Archer Pottery Sherd,Archer Pottery Sherd,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_archer_pottery_sherd.png,64
33,Armadillo Scute,Armadillo Scute,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_armadillo_scute.png,64
34,Armadillo Spawn Egg,Armadillo Spawn Egg,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_armadillo_spawn_egg.png,64
35,Armor Stand,Armor Stand,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_armor_stand.png,16
36,Arms Up Pottery Sherd,Arms Up Pottery Sherd,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arms_up_pottery_sherd.png,64
37,Arrow,Arrow,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow.png,64
38,Arrow of Fire Resistance - Fire Resistance (0:22),Arrow of Fire Resistance - Fire Resistance (0:22),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_fire_resistance_fire_resistance_0_22.png,64
39,Arrow of Fire Resistance - Fire Resistance (1:00),Arrow of Fire Resistance - Fire Resistance (1:00),https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_fire_resistance_fire_resistance_1_00.png,64
40,Arrow of Harming - Instant Damage,Arrow of Harming - Instant Damage,https://cdn.jsdelivr.net/gh/raiselul/minecraft-1.21-icons/items_1.21/minecraft_arrow_of_harming_instant_damage.png,64
